epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.389,1.38348,1.77498,1.09258,0.42558,0.38891,0.36809,0.22419,1.22111,1.0525,1.04102,0.00027692,0.00027692,0.00027692
2,128.244,1.25204,1.15094,1.05199,0.5647,0.44182,0.47924,0.28182,1.16233,0.90843,1.03451,0.000543606,0.000543606,0.000543606
3,190.309,1.21658,1.02454,1.04565,0.62865,0.458,0.50109,0.29865,1.15539,0.89412,1.04374,0.000799296,0.000799296,0.000799296
4,252.618,1.17856,0.93761,1.03456,0.69893,0.49068,0.57496,0.34688,1.10205,0.8266,1.02227,0.00078352,0.00078352,0.00078352
5,315.909,1.15125,0.88122,1.02406,0.62361,0.51619,0.5573,0.34425,1.08324,0.81243,1.01482,0.000767026,0.000767026,0.000767026
6,379.971,1.12225,0.83,1.01067,0.67068,0.55164,0.60829,0.3743,1.07197,0.76469,1.00574,0.000750533,0.000750533,0.000750533
7,444.741,1.10616,0.80704,1.00585,0.67726,0.59482,0.65035,0.40238,1.0646,0.73004,1.003,0.00073404,0.00073404,0.00073404
8,515.186,1.07512,0.77006,0.99467,0.7511,0.58675,0.67199,0.42629,1.0224,0.69775,0.98888,0.000717546,0.000717546,0.000717546
9,587.306,1.06781,0.75622,0.99302,0.76444,0.58945,0.68583,0.42871,1.03529,0.70883,0.99936,0.000701053,0.000701053,0.000701053
10,668.721,1.04913,0.73432,0.98487,0.76646,0.60612,0.70115,0.44466,1.0053,0.66973,0.98584,0.000684559,0.000684559,0.000684559
11,733.839,1.03832,0.72395,0.98238,0.77372,0.62542,0.70887,0.45055,0.99313,0.66171,0.97842,0.000668066,0.000668066,0.000668066
12,794.052,1.02889,0.70529,0.97736,0.76621,0.65181,0.72414,0.46878,0.98635,0.65367,0.97683,0.000651573,0.000651573,0.000651573
13,855.755,1.02108,0.69518,0.97624,0.83888,0.63437,0.73924,0.47032,0.97387,0.63462,0.97321,0.000635079,0.000635079,0.000635079
14,919.595,1.00318,0.68243,0.96971,0.8014,0.64299,0.74012,0.47833,0.96149,0.62428,0.9695,0.000618586,0.000618586,0.000618586
15,985.303,0.99347,0.66917,0.96505,0.80565,0.64589,0.74235,0.49173,0.94985,0.60855,0.96686,0.000602092,0.000602092,0.000602092
16,1051.81,0.99182,0.66666,0.96635,0.78218,0.67757,0.76189,0.5004,0.95307,0.60302,0.96521,0.000585599,0.000585599,0.000585599
17,1119.26,0.97515,0.65153,0.95842,0.82436,0.66997,0.76938,0.50473,0.93102,0.59523,0.95912,0.000569106,0.000569106,0.000569106
18,1188.08,0.97062,0.64418,0.95923,0.74299,0.69849,0.75239,0.5018,0.9329,0.60011,0.96097,0.000552612,0.000552612,0.000552612
19,1259.05,0.95794,0.63712,0.95373,0.8114,0.6978,0.77914,0.51705,0.92028,0.57774,0.95406,0.000536119,0.000536119,0.000536119
20,1330.72,0.94789,0.6204,0.95036,0.77852,0.71533,0.78247,0.52233,0.91295,0.57866,0.95306,0.000519625,0.000519625,0.000519625
21,1407.04,0.94685,0.62655,0.95093,0.80157,0.6967,0.77637,0.51443,0.91533,0.57835,0.95467,0.000503132,0.000503132,0.000503132
22,1480.46,0.93508,0.61315,0.94797,0.80989,0.71832,0.79699,0.53714,0.9049,0.56092,0.95127,0.000486639,0.000486639,0.000486639
